,ts,CCH,HKA,HKO,HKS,JKB,LFS,PEN,SEK,SHA,SKG,TKL,TPO,TUN,TY1,WGL,SSH,TMS,TC
208,1659380400,,,,,,,,,,,,,,,,,,
209,1659384000,,,,,,,,,,,,,,,,,,
210,1659387600,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Light Rain,Light Rain,Unknown,Unknown,Unknown,Unknown
211,1659391200,,,,,,,,,,,,,,,,,,
212,1659394800,,,,,,,,,,,,,,,,,,
213,1659398400,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny Periods with A Few Showers,Sunny Periods with A Few Showers,Sunny,Sunny,Sunny,Sunny
214,1659402000,,,,,,,,,,,,,,,,,,
215,1659405600,,,,,,,,,,,,,,,,,,
216,1659409200,Sunny,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods with A Few Showers,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods with A Few Showers,Sunny Periods,Sunny Periods
217,1659412800,,,,,,,,,,,,,,,,,,
218,1659416400,,,,,,,,,,,,,,,,,,
219,1659420000,Sunny,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods with A Few Showers,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods with A Few Showers,Sunny Periods,Sunny Periods
220,1659423600,,,,,,,,,,,,,,,,,,
221,1659427200,,,,,,,,,,,,,,,,,,
222,1659430800,Sunny,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods with A Few Showers,Sunny Periods,Sunny Periods with A Few Showers,Sunny Periods with A Few Showers,Sunny Periods,Sunny Periods with A Few Showers,Sunny Periods with A Few Showers,Sunny Periods with A Few Showers,Sunny Periods,Sunny Periods,Sunny Periods with A Few Showers,Sunny Periods with A Few Showers,Sunny Periods with A Few Showers
223,1659434400,,,,,,,,,,,,,,,,,,
224,1659438000,,,,,,,,,,,,,,,,,,
225,1659441600,Unknown,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Light Rain,Mainly Fine,Light Rain,Light Rain,Mainly Fine,Light Rain,Light Rain,Light Rain,Mainly Fine,Mainly Fine,Light Rain,Light Rain,Light Rain
226,1659445200,,,,,,,,,,,,,,,,,,
227,1659448800,,,,,,,,,,,,,,,,,,
228,1659452400,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Cloudly,Mainly Fine,Mainly Cloudly,Mainly Fine,Mainly Fine,Mainly Cloudly,Mainly Cloudly,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Cloudly,Mainly Fine,Mainly Fine
229,1659456000,,,,,,,,,,,,,,,,,,
230,1659463200,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Cloudly,Mainly Fine,Mainly Cloudly,Mainly Fine,Mainly Fine,Mainly Cloudly,Mainly Cloudly,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Cloudly,Mainly Fine,Mainly Fine
